id	ofjobs	firstname	sex	race	call	lmedhhinc
id row 1	2	firstname row 3	sex row 4	race row 5	0	9.5274839
id row 1	3	firstname row 3	sex row 4	race row 5	0	10.408828
id row 1	1	firstname row 3	sex row 4	race row 5	0	10.466754
b	2	Allison	FEMALE	Caucasian	0	9.5274839
b	3	Kristen	FEMALE	Caucasian	0	10.408828
b	1	Lakisha	FEMALE	BLACK	0	10.466754
b	4	Latonya	FEMALE	BLACK	0	10.431908
b	3	Carrie	FEMALE	Caucasian	0	9.8762188
b	2	Jay	MALE	Caucasian	0	10.431908
b	2	Jill	FEMALE	Caucasian	0	10.453601
b	4	Kenya	FEMALE	BLACK	0	10.287047
b	3	Latonya	FEMALE	BLACK	0	10.408828
b	2	Tyrone	MALE	BLACK	0	8.8417377
b	4	Aisha	FEMALE	BLACK	0	10.00487
b	4	Allison	FEMALE	Caucasian	0	8.8417377
b	4	Aisha	FEMALE	BLACK	0	9.8924265
b	2	Carrie	FEMALE	Caucasian	0	9.4743185
b	2	Aisha	FEMALE	BLACK	0	10.032057
b	3	Geoffrey	MALE	Caucasian	0	9.4743185
b	3	Matthew	MALE	Caucasian	0	10.631061
b	3	Tamika	FEMALE	BLACK	0	10.068281
b	2	Jill	FEMALE	Caucasian	0	-99
b	2	Latonya	FEMALE	BLACK	0	9.6926432
b	3	Leroy	MALE	BLACK	0	10.068281
b	3	Todd	MALE	Caucasian	0	10.431908
b	2	Allison	WOMN	Caucasian	0	10.247857
b	3	Carrie	FEMALE	Caucasian	0	10.061986
b	3	Greg	MLE	Caucasian	0	10.217824
b	4	Keisha	FEMALE	BLACK	0	9.895607
b	3	Keisha	FEMALE	BLACK	0	10.099629
b	4	Kristen	FEMALE	Caucasian	0	9.8417721
b	3	Lakisha	FEMALE	BLACK	0	10.631061
b	3	Tamika	FEMALE	BLACK	0	10.099629
b	2	Allison	FEMALE	Caucasian	0	10.408828
b	4	Keisha	FEMALE	BLACK	0	10.068281
b	2	Kristen	FEMALE	Caucasian	0	9.8692579
b	3	Latonya	FEMALE	BLACK	0	9.6628799
b	2	Brad	MALE	Caucasian	0	10.00487
b	3	Jill	FEMALE	Caucasian	0	10.061986
b	3	Keisha	FEMALE	BLACK	0	9.8762188
b	3	Keisha	FEMALE	BLACK	0	10.032057
b	3	Lakisha	FEMALE	BLACK	0	9.9650526
b	3	Laurie	FEMALE	Caucasian	0	10.453601
b	2	Meredith	FEMALE	Caucasian	0	10.466754
b	3	Tyrone	MALE	BLACK	0	10.244059
b	4	Anne	FEMALE	Caucasian	0	9.8692579
b	4	Emily	FEMALE	Caucasian	0	10.292552
b	4	Latoya	FEMALE	BLACK	0	9.9867716
b	2	Tamika	FEMALE	BLACK	0	9.6926432
b	2	Brad	MALE	Caucasian	0	10.453601
b	3	Latoya	FEMALE	BLACK	0	10.408828
b	3	Kristen	FEMALE	Caucasian	0	10.292552
b	3	Latonya	FEMALE	BLACK	0	9.895607
b	4	Latoya	FEMALE	BLACK	0	9.6926432
b	3	Laurie	FEMALE	Caucasian	0	10.242421
b	5	Allison	FEMALE	Caucasian	0	9.895607
b	2	Ebony	FEMALE	BLACK	0	10.242421
b	3	Jay	MALE	Caucasian	0	9.8417721
b	5	Keisha	FEMALE	BLACK	0	10.295766
b	4	Laurie	FEMALE	Caucasian	0	9.4743185
b	3	Tyrone	MALE	BLACK	0	10.466754
b	4	Anne	FEMALE	Caucasian	0	9.92974
b	3	Lakisha	FEMALE	BLACK	0	10.247857
b	4	Latonya	FEMALE	BLACK	0	10.435556
b	3	Meredith	FEMALE	Caucasian	0	10.435556
b	2	Allison	FEMALE	Caucasian	0	9.92974
b	2	Carrie	FEMALE	Caucasian	0	10.244059
b	3	Ebony	FEMALE	BLACK	0	9.6926432
b	4	Kenya	FEMALE	BLACK	0	10.287047
b	3	Lakisha	FEMALE	BLACK	0	8.8417377
b	3	Laurie	FEMALE	Caucasian	0	10.099629
b	4	Aisha	FEMALE	BLACK	0	10.068281
b	4	Anne	FEMALE	Caucasian	0	10.565582
b	2	Brendan	MALE	Caucasian	0	10.244059
b	3	Hakim	MALE	BLACK	0	10.310918
b	4	Latoya	FEMALE	BLACK	0	10.099629
b	2	Laurie	FEMALE	Caucasian	0	10.276773
b	3	Laurie	FEMALE	Caucasian	0	10.431908
b	3	Leroy	MALE	BLACK	0	9.6628799
b	3	Anne	FEMALE	Caucasian	0	10.068281
b	3	Kenya	FEMALE	BLACK	0	10.112573
b	2	Latonya	FEMALE	BLACK	0	9.92974
b	3	Meredith	FEMALE	Caucasian	0	10.099629
b	4	Jamal	MALE	BLACK	0	10.431908
b	4	Matthew	MALE	Caucasian	0	9.8692579
b	2	Neil	MALE	Caucasian	0	10.295766
b	5	Tyrone	MALE	BLACK	0	10.453601
b	3	Leroy	MALE	BLACK	0	10.00487
b	3	Todd	MALE	Caucasian	1	10.217824
b	3	Brad	MALE	Caucasian	0	10.217824
b	2	Ebony	FEMALE	BLACK	0	10.795178
b	4	Jill	FEMALE	Caucasian	0	10.292552
b	4	Kristen	FEMALE	Caucasian	0	10.18893
b	2	Lakisha	FEMALE	BLACK	0	9.9650526
b	3	Matthew	MALE	Caucasian	0	10.112573
b	6	Tamika	FEMALE	BLACK	0	9.6628799
b	3	Tremayne	MALE	BLACK	0	10.068281
b	4	Aisha	FEMALE	BLACK	0	10.758413
b	3	Brett	MALE	Caucasian	1	10.099629
b	3	Darnell	MALE	BLACK	0	10.466754
b	5	Emily	FEMALE	Caucasian	0	10.310918
b	2	Latonya	FEMALE	BLACK	0	9.8762188
b	4	Sarah	FEMALE	Caucasian	0	9.8417721
b	4	Aisha	FEMALE	BLACK	0	10.112573
b	4	Anne	FEMALE	Caucasian	0	8.8417377
b	3	Jermaine	MALE	BLACK	0	10.565582
b	3	Neil	MALE	Caucasian	0	9.8692579
b	4	Allison	FEMALE	Caucasian	0	10.276773
b	2	Anne	FEMALE	Caucasian	1	10.453601
b	5	Keisha	FEMALE	BLACK	0	10.244059
b	3	Latonya	FEMALE	BLACK	1	10.068281
b	3	Latonya	FEMALE	BLACK	0	9.8762188
b	2	Laurie	FEMALE	Caucasian	0	10.310918
b	2	Jay	MALE	Caucasian	0	10.310918
b	2	Lakisha	FEMALE	BLACK	0	-99
b	3	Anne	FEMALE	Caucasian	0	10.408828
b	4	Keisha	FEMALE	BLACK	0	9.8692579
b	3	Kristen	FEMALE	Caucasian	0	10.032057
b	3	Lakisha	FEMALE	BLACK	0	10.217824
b	4	Allison	FEMALE	Caucasian	0	10.377172
b	3	Ebony	FEMALE	BLACK	0	9.8692579
b	4	Keisha	FEMALE	BLACK	0	10.408828
b	3	Kristen	FEMALE	Caucasian	0	10.287047
b	2	Lakisha	FEMALE	BLACK	0	9.8762188
b	4	Meredith	FEMALE	Caucasian	0	10.244059
b	3	Allison	FEMALE	Caucasian	0	9.6628799
b	4	Kristen	FEMALE	Caucasian	0	10.032057
b	3	Lakisha	FEMALE	BLACK	0	10.217824
b	4	Lakisha	FEMALE	BLACK	0	10.217824
b	1	Tanisha	FEMALE	BLACK	1	10.292552
b	2	Todd	MALE	Caucasian	1	9.6628799
b	3	Aisha	FEMALE	BLACK	0	10.565582
b	3	Anne	FEMALE	Caucasian	0	10.310918
b	4	Jill	FEMALE	Caucasian	0	9.6628799
b	3	Latoya	FEMALE	BLACK	0	-99
b	3	Neil	MALE	Caucasian	0	9.6628799
b	3	Tamika	FEMALE	BLACK	0	10.431908
b	4	Anne	FEMALE	Caucasian	0	10.310918
b	3	Geoffrey	MALE	Caucasian	0	10.408828
b	4	Latoya	FEMALE	BLACK	0	-99
b	3	Rasheed	MALE	BLACK	0	10.032057
b	4	Aisha	FEMALE	BLACK	0	10.061986
b	3	Allison	FEMALE	Caucasian	0	9.4743185
b	2	Carrie	FEMALE	Caucasian	0	10.244059
b	2	Ebony	FEMALE	BLACK	0	10.631061
b	3	Kenya	FEMALE	BLACK	0	9.8692579
b	3	Kristen	FEMALE	Caucasian	0	10.068281
b	3	Jermaine	MALE	BLACK	0	10.112573
b	3	Laurie	FEMALE	Caucasian	0	9.92974
b	3	Allison	FEMALE	Caucasian	0	9.5274839
b	3	Kristen	FEMALE	Caucasian	0	10.408828
b	2	Lakisha	FEMALE	BLACK	0	10.466754
b	4	Latonya	FEMALE	BLACK	0	10.431908
b	5	Brad	MALE	Caucasian	0	10.061986
b	3	Leroy	MALE	BLACK	0	10.244059
b	2	Emily	FEMALE	Caucasian	0	10.565582
b	2	Latonya	FEMALE	BLACK	0	10.00487
b	3	Latoya	FEMALE	BLACK	0	10.068281
b	4	Laurie	FEMALE	Caucasian	0	-99
b	3	Aisha	FEMALE	BLACK	0	10.292552
b	5	Allison	FEMALE	Caucasian	0	10.453601
b	5	Ebony	FEMALE	BLACK	0	9.92974
b	2	Jermaine	MALE	BLACK	0	10.276773
b	3	Kristen	FEMALE	Caucasian	0	-99
b	2	Latonya	FEMALE	BLACK	0	9.895607
