czname,state,county,kfr_p25,kfr_p75
Portland,23,1,0.4088186,0.58245027
Presque Isle,23,3,0.42492422,0.59958941
Portland,23,5,0.4253554,0.58070183
Portland,23,7,0.4389846,0.5788908
Bangor,23,9,0.41536728,0.55666232
Portland,23,11,0.41804555,0.5808441
Bangor,23,13,0.41698584,0.56305766
Portland,23,15,0.4243992,0.57255852
Portland,23,17,0.41302282,0.57810491
Bangor,23,19,0.40643802,0.58066893
Bangor,23,21,0.45324081,0.5739066
Portland,23,23,0.39658928,0.5447467
Portland,23,25,0.41440207,0.56756055
Bangor,23,27,0.40438923,0.55299646
Calais,23,29,0.38664654,0.53992736
Manchester,23,31,0.43745655,0.58457404
