state,i_urban,age,i_asian,i_black,i_hispanic,i_indigenous,i_white,i_female,i_male,i_grad_college,i_married,personal_income,i_foodstamps,i_health_insurance,i_internet,time_depart,time_arrive,time_commuting
AL,0,24,0,1,0,0,0,1,0,0,0,0.96,0,1,1,605,629,25
AL,0,40,0,0,0,0,1,0,1,0,1,4.16,0,1,1,332,354,20
AL,0,28,0,1,0,0,0,1,0,1,1,2,0,1,1,482,499,15
AL,0,38,0,0,0,0,1,0,1,0,0,3.226,0,1,1,392,409,15
AL,0,66,0,0,0,0,1,1,0,0,1,1.62,0,1,1,605,619,15
AL,0,30,0,1,0,0,0,0,1,0,0,5,0,1,1,332,349,15
AL,0,49,0,0,0,0,1,0,1,0,0,4.8,0,1,1,377,409,30
AL,0,64,0,0,0,0,1,0,1,1,1,44.1,0,1,1,452,459,8
AL,0,54,0,0,0,0,1,1,0,0,0,1.14,1,0,1,1005,1014,5
AL,0,24,1,0,1,0,0,0,1,0,0,2.08,0,0,0,542,564,20
AL,0,26,0,0,0,0,1,0,1,0,0,1.46,0,1,1,482,514,30
AL,0,48,0,0,0,0,1,1,0,1,1,5.8,0,1,1,437,464,25
AL,0,30,0,0,0,0,1,0,1,0,1,1.8,0,1,1,467,479,10
AL,0,27,0,0,0,0,1,1,0,1,1,5.1,0,1,1,467,489,20
AL,0,51,0,1,0,0,0,0,1,0,1,2.4,0,1,1,302,339,35
AL,0,61,0,0,0,0,1,1,0,0,1,5,0,1,1,422,479,55
AL,0,48,0,0,0,0,1,0,1,0,1,6.2,0,1,1,332,354,20
AL,0,36,0,0,0,0,1,0,1,0,0,4.5,0,1,1,302,379,75
AL,0,51,0,0,0,0,1,1,0,0,1,5,0,1,0,407,409,1
AL,0,75,0,0,0,0,1,0,1,1,1,26.25,0,1,1,482,494,10
AL,0,36,0,0,0,0,1,1,0,0,1,2,0,1,1,322,324,2
AL,0,65,0,0,0,0,1,0,1,0,1,2.9,0,1,1,332,354,20
AL,0,23,0,0,0,0,1,1,0,1,0,2.2,0,1,1,392,399,5
AL,0,51,0,0,0,0,1,0,1,0,1,3,0,1,1,482,504,20
AL,0,40,0,1,0,0,0,1,0,0,0,1.6,0,1,0,317,364,45
AL,0,36,0,0,0,0,1,1,0,0,1,4,0,1,1,332,364,30
AL,0,26,0,0,0,0,1,0,1,0,0,5.8,0,1,1,377,419,40
AL,0,46,0,0,0,0,1,1,0,0,1,2.6,0,1,1,392,404,10
AL,0,38,0,0,0,0,1,0,1,0,0,2.1,0,1,1,542,564,20
AL,0,41,0,1,0,0,0,1,0,0,0,6.5,0,1,1,362,394,30
AL,0,46,0,0,0,0,1,1,0,1,0,4.12,0,1,1,422,464,40
AL,0,46,0,1,0,0,0,1,0,1,0,5.05,0,1,1,412,424,10
AL,0,71,0,0,0,0,1,0,1,1,0,5.88,0,1,1,397,409,10
AL,0,68,0,0,0,0,1,1,0,0,1,4.5,0,1,1,407,434,25
AL,0,23,0,0,0,0,1,1,0,0,0,4.5,0,1,1,1125,1144,15
AL,0,57,0,0,0,0,1,1,0,1,1,4,0,1,1,482,504,20
AL,0,25,0,0,0,0,1,1,0,0,0,5.5,0,1,1,392,399,7
AL,0,54,0,0,0,0,1,1,0,0,1,4.1,0,1,1,452,464,11
AL,0,29,0,1,1,0,0,0,1,0,0,1.36,1,1,1,402,604,152
AL,0,30,0,0,0,0,1,1,0,0,1,0.7,0,1,1,615,624,5
AL,0,46,0,0,0,0,1,1,0,1,1,5.5,0,1,1,452,459,5
AL,0,31,0,0,0,0,1,0,1,0,0,1.25,0,1,1,332,454,152
AL,0,67,0,0,0,0,1,0,1,0,1,11.95,0,1,1,452,474,20
AL,0,50,0,1,0,0,0,0,1,0,1,0.4,0,1,1,302,339,35
AL,0,49,0,0,0,0,1,0,1,0,1,4,0,1,1,302,309,5
AL,0,31,0,0,0,0,1,0,1,0,1,5.003,0,1,1,302,324,20
AL,0,60,0,1,0,0,0,0,1,0,0,1.4,0,1,1,392,409,15
AL,0,32,0,0,0,0,1,1,0,0,1,2.7,0,1,1,422,434,10
AL,0,61,0,0,0,0,1,0,1,0,1,2.3,0,0,1,665,704,40
AL,1,46,0,0,0,0,1,0,1,0,1,13,0,1,1,362,409,45
AL,1,22,0,0,0,0,1,0,1,0,0,0.18,0,1,1,1085,1104,20
AL,1,63,0,0,0,0,1,1,0,0,0,2,0,1,1,497,514,15
AL,1,19,0,0,0,0,1,0,1,0,0,0.25,0,1,1,725,774,50
