state,i_urban,age,i_asian,i_black,i_hispanic,i_indigenous,i_white,i_female,i_male,education,i_grad_college,i_married,personal_income,i_foodstamps,i_health_insurance,i_internet,time_depart,time_arrive,time_commuting
AL,0,19,0,0,0,0,1,1,0,12,0,0,1.92,0,0,1,392,409,15
AL,0,40,0,0,0,0,1,0,1,12,0,1,5.65,0,1,1,407,419,10
AL,0,62,0,0,0,0,1,1,0,13,0,1,3,0,1,1,437,444,8
AL,0,32,0,0,0,0,1,0,1,14,0,0,5.5,0,1,1,422,464,40
AL,0,37,0,0,0,0,1,0,1,14,0,0,8.3,0,1,1,482,489,6
AL,0,31,0,0,0,0,1,0,1,12,0,0,1.2,0,1,1,965,974,13
AL,0,26,0,0,0,0,1,0,1,13,0,0,5.8,0,1,1,377,419,40
AL,0,54,0,0,0,0,1,1,0,17,1,0,5,0,1,1,362,419,55
AL,0,36,0,0,0,0,1,0,1,17,1,1,9.5,0,1,1,785,789,5
AL,0,27,0,1,0,0,0,1,0,13,0,0,3,0,1,1,635,654,20
AL,0,31,0,0,1,0,0,1,0,16,1,0,0.34,1,0,0,332,344,10
AL,0,16,0,0,0,0,1,1,0,10,0,0,0.13,0,1,1,467,489,20
AL,0,28,0,1,0,0,0,1,0,17,1,1,2,0,1,1,482,499,15
AL,0,32,0,0,0,0,1,1,0,12,0,0,1.85,1,1,1,332,344,11
AL,0,45,0,0,0,0,1,0,1,12,0,1,6,0,1,1,285,349,60
AL,0,63,0,1,0,0,0,1,0,13,0,0,2.1,0,1,1,452,479,25
AL,0,32,0,1,0,0,0,0,1,11,0,0,2,0,0,0,392,394,1
AL,0,65,0,1,0,0,0,1,0,16,1,1,4.02,0,1,1,397,419,20
AL,0,39,0,1,0,0,0,1,0,14,0,1,4.2,0,1,1,442,484,40
AL,0,50,0,0,0,0,1,1,0,14,0,1,3.5,0,1,1,452,484,30
AL,0,49,0,0,0,1,0,1,0,13,0,0,1.45,0,0,1,482,484,1
AL,0,29,0,0,0,0,1,1,0,12,0,1,1.41,1,0,1,542,549,5
AL,0,26,0,0,1,0,1,1,0,16,1,1,0.05,0,1,1,362,379,15
AL,0,59,0,0,0,0,1,0,1,16,1,1,11,0,1,1,437,464,25
AL,0,33,0,0,0,0,1,1,0,13,0,1,2.8,0,1,1,392,414,20
AL,0,49,0,1,0,0,0,1,0,14,0,0,2.42,0,1,1,407,609,152
AL,0,61,0,0,0,0,1,0,1,13,0,0,3,0,1,0,422,444,20
AL,0,56,0,0,0,0,1,0,1,12,0,1,3,0,1,1,392,409,15
AL,0,32,0,0,0,0,1,0,1,16,1,1,56.6,0,1,1,512,544,30
AL,0,49,0,0,0,0,1,1,0,17,1,1,3.61,0,1,1,542,554,10
AL,0,30,0,0,0,0,1,0,1,12,0,1,3,0,1,1,332,379,45
AL,0,28,0,0,0,0,1,0,1,12,0,0,2.5,0,1,1,785,814,30
AL,0,63,0,0,0,0,1,1,0,12,0,1,3.2,0,1,1,295,314,20
AL,0,57,0,0,0,0,1,1,0,12,0,0,3,0,1,1,512,519,6
AL,0,57,0,0,0,0,1,1,0,12,0,0,2.2,0,1,1,392,414,20
AL,0,62,0,0,0,0,1,0,1,16,1,1,12,0,1,1,482,499,15
AL,0,44,0,0,0,0,1,0,1,17,1,1,13.05,0,1,1,382,394,10
AL,0,17,0,0,0,0,1,1,0,13,0,0,0.9,0,1,1,467,474,5
