Year,Rate,Location
2015,2500.5,United States
1985,4666.4,United States
2000,3618.3,United States
1997,4316.5,United States
1998,4052.5,United States
1999,3743.6,United States
2001,3658.1,United States
2002,3630.6,United States
2003,3591.2,United States
2004,3514.1,United States
2005,3431.5,United States
2006,3346.6,United States
2007,3276.4,United States
2008,3214.6,United States
2009,3041.3,United States
2010,2945.9,United States
2011,2905.4,United States
1986,4881.8,United States
1987,4963,United States
1988,5054,United States
1989,5107.1,United States
1990,5073.1,United States
1991,5140.2,United States
1992,4903.7,United States
1993,4740,United States
1994,4660.2,United States
2017,2362.9,United States
2012,2868,United States
2013,2733.6,United States
2014,2574.1,United States
1995,4590.5,United States
1996,4451,United States
2016,2451.6,United States
2018,2209.8,United States
2019,2109.9,United States
1996,4429.6,Illinois
1997,4279.7,Illinois
1998,4050.8,Illinois
1999,3825.2,Illinois
2000,3585.4,Illinois
2001,3471.6,Illinois
2002,3420.2,Illinois
2003,3287.9,Illinois
2010,2718.1,Illinois
2011,2678.7,Illinois
2012,2585.5,Illinois
2007,2935.8,Illinois
2008,2932.6,Illinois
2009,2736.9,Illinois
2004,3174.1,Illinois
2005,3091.7,Illinois
2006,3019.6,Illinois
1995,4459.6,Illinois
2015,2001.4,Illinois
2013,2296.6,Illinois
2014,2093.2,Illinois
1985,4596.5,Illinois
1986,4754.3,Illinois
1987,4620.3,Illinois
1988,4810.4,Illinois
1989,4793.3,Illinois
1990,4967.7,Illinois
1991,5092.9,Illinois
1992,4788.1,Illinois
1993,4658.2,Illinois
1994,4664.9,Illinois
2017,1995.2,Illinois
2016,2051,Illinois
2018,1938.8,Illinois
2019,1846.5,Illinois
