Year,Rate,Location
2015,373.7,United States
1985,558.1,United States
2000,506.5,United States
1997,611,United States
1998,567.6,United States
1999,523,United States
2001,504.5,United States
2002,494.4,United States
2003,475.8,United States
2004,463.2,United States
2005,469,United States
2006,479.3,United States
2007,471.8,United States
2008,458.6,United States
2009,431.9,United States
2010,404.5,United States
2011,387.1,United States
1986,620.1,United States
1987,612.5,United States
1988,640.6,United States
1989,666.9,United States
1990,729.6,United States
1991,758.2,United States
1992,757.7,United States
1993,747.1,United States
1994,713.6,United States
2017,394.9,United States
2012,387.8,United States
2013,369.1,United States
2014,361.6,United States
1995,684.5,United States
1996,636.6,United States
2016,397.5,United States
2018,383.4,United States
2019,379.4,United States
1996,890.4,Illinois
1997,861.4,Illinois
1998,807.7,Illinois
1999,689.5,Illinois
2000,653.8,Illinois
2001,633.1,Illinois
2002,601.9,Illinois
2003,556.4,Illinois
2010,444.9,Illinois
2011,424,Illinois
2012,416.2,Illinois
2007,533.2,Illinois
2008,525.4,Illinois
2009,497.2,Illinois
2004,545.7,Illinois
2005,552.2,Illinois
2006,541.6,Illinois
1995,996.1,Illinois
2015,387.5,Illinois
2013,403.1,Illinois
2014,370.9,Illinois
1985,714.8,Illinois
1986,810.3,Illinois
1987,796.2,Illinois
1988,810.4,Illinois
1989,845.9,Illinois
1990,967.4,Illinois
1991,1039.2,Illinois
1992,977.3,Illinois
1993,959.7,Illinois
1994,960.9,Illinois
2017,436.2,Illinois
2016,436.7,Illinois
2018,411.4,Illinois
2019,406.9,Illinois
