price,points,variety,country,province,taster_name
50,92,Pinot Noir,US,California,Matt Kettmann
75,90,Cabernet Sauvignon,US,California,Virginie Boone
15,88,Red Blend,US,California,Matt Kettmann
106,93,Pinot Noir,France,Burgundy,Roger Voss
25,88,Pinot Noir,US,Oregon,Paul Gregutt
65,89,Cabernet Sauvignon,US,California,Virginie Boone
12,83,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
30,93,Cabernet Sauvignon,US,Washington,Paul Gregutt
35,91,Syrah,US,Washington,Paul Gregutt
9,82,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
50,85,Pinot Noir,US,Oregon,Paul Gregutt
55,92,Cabernet Sauvignon,US,California,Virginie Boone
49,91,Pinot Noir,US,California,Matt Kettmann
34,87,Pinot Noir,US,California,Virginie Boone
70,91,Red Blend,US,California,Virginie Boone
20,89,Cabernet Sauvignon,US,Washington,Paul Gregutt
65,92,Pinot Noir,US,California,Virginie Boone
39,93,Bordeaux-style Red Blend,US,Washington,Paul Gregutt
45,86,Pinot Noir,US,California,Virginie Boone
31,88,Pinot Noir,France,Burgundy,Roger Voss
39,87,Pinot Noir,US,Oregon,Paul Gregutt
44,92,Pinot Noir,US,Oregon,Paul Gregutt
20,93,Pinot Noir,US,California,Virginie Boone
20,86,Chardonnay,US,California,Matt Kettmann
35,94,Pinot Noir,US,California,Matt Kettmann
35,87,Cabernet Sauvignon,US,California,Virginie Boone
35,88,Pinot Noir,US,Oregon,Paul Gregutt
20,85,Chardonnay,US,Washington,Paul Gregutt
45,92,Pinot Noir,US,Oregon,Paul Gregutt
36,90,Pinot Noir,US,Oregon,Paul Gregutt
25,90,Cabernet Sauvignon,US,Washington,Paul Gregutt
75,93,Syrah,US,California,Matt Kettmann
45,90,Pinot Noir,France,Burgundy,Roger Voss
13,86,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
20,88,Bordeaux-style Red Blend,US,California,Virginie Boone
18,90,Pinot Gris,US,Oregon,Paul Gregutt
48,94,Chardonnay,US,California,Virginie Boone
15,88,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
79,88,Cabernet Sauvignon,US,California,Virginie Boone
19,91,Pinot Gris,US,Oregon,Paul Gregutt
55,90,Bordeaux-style Red Blend,US,Washington,Paul Gregutt
105,93,Pinot Noir,US,Oregon,Paul Gregutt
50,91,Pinot Noir,US,California,Virginie Boone
12,84,Chardonnay,US,Oregon,Paul Gregutt
40,83,Pinot Noir,US,Oregon,Paul Gregutt
20,84,Pinot Noir,France,Burgundy,Roger Voss
45,93,Pinot Noir,US,California,Virginie Boone
30,87,Chardonnay,US,California,Virginie Boone
18,90,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
39,94,Pinot Noir,US,Oregon,Paul Gregutt
46,93,Chardonnay,France,Burgundy,Roger Voss
50,86,Cabernet Sauvignon,US,Washington,Paul Gregutt
14,88,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
20,87,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
20,88,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
29,91,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
